subgenre,broad_genre
Composition D,Other
Concert Piano,Classical
Consort,Other
Contemporary Classical,Classical
Contemporary Country,Country
Contemporary Folk,Folk
Contemporary Jazz,Jazz
Contemporary Post-bop,Other
Cool Jazz,Jazz
Corrosion,Other
Corsican Folk,Folk
Country,Country
Country Blues,Blues
Country Christmas,Country
Country Dawn,Country
Country Gospel,Country
Country Road,Country
Country Rock,Rock
Coupe Decale,Other
Coverchill,Other
Covertrance,Electronic
Cowboy Western,Other
Cowpunk,Rock
Crack Rock Steady,Rock
Croatian Pop,Pop
Crossover Prog,Other
Crossover Thrash,Metal
Crunk,Other
Crust Punk,Rock
Cryptic Black Metal,Metal
Cuban Rumba,Other
Cubaton,Other
Cumbia,Folk
Cumbia Funk,R&B
Cumbia Sonidera,Hip Hop
Cumbia Villera,Hip Hop
Cyber Metal,Metal
Czech Folk,Folk
Czech Rock,Rock
Dallas Indie,Other
Dance Pop,Pop
Dance Rock,Rock
Dance-punk,Rock
Dancehall,Hip Hop
Dangdut,Other
Danish Hip Hop,Hip Hop
Danish Indie,Other
Danish Jazz,Jazz
Danish Pop,Pop
Danish Pop Rock,Rock
Dansband,Other
Danseband,Other
Dansktop,Other
Dark Ambient,Electronic
Dark Black Metal,Metal
Dark Cabaret,Other
Dark Electro-industrial,Electronic
Dark Hardcore,Rock
Dark Jazz,Jazz
Dark Minimal Techno,Electronic
Dark Progressive House,Electronic
Dark Psytrance,Electronic
Dark Wave,Other
Darkstep,Other
Death Core,Metal
Death Metal,Metal
Deathgrind,Metal
Deep Acoustic Pop,Pop
Deep Adult Standards,Other
Deep Alternative R&amp;b,Rock
Deep Ambient,Electronic
Deep Baroque,Classical
Deep Brazilian Pop,Pop
Deep Breakcore,Other
Deep Canadian Indie,Other
Deep Ccm,Other
Deep Cello,Other
Deep Chill,Other
Deep Chill-out,Other
Deep Christian Rock,Rock
Deep Classic Garage Rock,Rock
Deep Classical Piano,Classical
Deep Comedy,Other
Deep Contemporary Country,Country
Deep Dance Pop,Pop
Deep Darkpsy,Other
Deep Deep House,Electronic
Deep Deep Tech House,Electronic
Deep Delta Blues,Blues
Deep Disco,Other
Deep Disco House,Electronic
Deep Discofox,Other
Deep Downtempo Fusion,Electronic
Deep Dub Techno,Electronic
Deep East Coast Hip Hop,Hip Hop
Deep Euro House,Electronic
Deep Eurodance,Other
Deep Filthstep,Other
Deep Flow,Other
Deep Folk Metal,Metal
Deep Free Jazz,Jazz
Deep Freestyle,Other
Deep Full On,Other
Deep Funk,R&B
Deep Funk House,Electronic
Deep G Funk,R&B
Deep German Indie,Other
Deep German Punk,Rock
Deep Gothic Post-punk,Rock
Deep Happy Hardcore,Rock
Deep Hardcore,Rock
Deep Hardcore Punk,Rock
Deep Hardstyle,Electronic
Deep House,Electronic
Deep Indian Pop,Pop
Deep Indie Pop,Pop
Deep Indie Rock,Rock
Deep Indie Singer-songwriter,Jazz
Deep Italo Disco,Other
Deep Jazz Fusion,Jazz
Deep Jazz Guitar,Jazz
Deep Jazz Piano,Jazz
Deep Latin Alternative,Rock
Deep Liquid,Electronic
Deep Liquid Bass,Other
Deep Melodic Death Metal,Metal
Deep Melodic Hard Rock,Rock
Deep Melodic House,Electronic
Deep Melodic Metalcore,Metal
Deep Minimal Techno,Electronic
Deep Motown,R&B
Deep Neo-synthpop,Pop
Deep Neofolk,Folk
Deep New Wave,Rock
Deep Nordic Folk,Folk
Deep Northern Soul,R&B
Deep Opera,Hip Hop
Deep Orchestral,Classical
Deep Orgcore,Other
Deep Pop Emo,Rock
Deep Pop Punk,Rock
Deep Power-pop Punk,Rock
Deep Progressive House,Electronic
Deep Progressive Trance,Electronic
Deep Psychobilly,Other
Deep Psytrance,Electronic
Deep Punk Rock,Rock
Deep Ragga,Other
Deep Rai,Other
Deep Regional Mexican,Other
Deep Smooth Jazz,Jazz
Deep Soft Rock,Rock
Deep Soul House,Electronic
Deep Soundtrack,Other
Deep Southern Soul,R&B
Deep Space Rock,Rock
Deep String Quartet,Other
Deep Sunset Lounge,Other
Deep Surf Music,Other
Deep Symphonic Black Metal,Metal
Deep Talent Show,Other
Deep Tech House,Electronic
Deep Thrash Metal,Metal
Deep Trap,Hip Hop
Deep Turkish Pop,Pop
Deep Uplifting Trance,Electronic
Deep Vocal House,Electronic
Deep Vocal Jazz,Jazz
Delta Blues,Blues
Demoscene,Rock
Denver Indie,Metal
Depressive Black Metal,Metal
Desert Blues,Blues
Desi,Other
Destroy Techno,Electronic
Detroit Hip Hop,Hip Hop
Detroit Techno,Electronic
Didgeridoo,Metal
Digital Hardcore,Rock
Dirty South Rap,Hip Hop
Dirty Texas Rap,Hip Hop
Disco,Pop
Disco House,Electronic
Discofox,Other
Dixieland,Other
Djent,Metal
Dominican Pop,Pop
Doo-wop,Other
Doom Metal,Metal
Doomcore,Metal
Doujin,Other
Downtempo,Pop
Downtempo Fusion,Electronic
Downtempo Trip Hop,Hip Hop
Drama,Other
Dream Pop,Pop
Dreamo,Other
Drill And Bass,Hip Hop
Drone,Experimental
Drone Folk,Folk
Drone Metal,Metal
Drone Psych,Experimental
Drum And Bass,Electronic
Drumfunk,R&B
Dub,Electronic
Dub Techno,Electronic
Dubstep,Electronic
Dubstep Product,Electronic
Dubsteppe,Electronic
Duranguense,Other
Dutch Hip Hop,Hip Hop
Dutch House,Electronic
Dutch Pop,Pop
Dutch Rock,Rock
E6fi,Other
Early Music,Other
Early Music Ensemble,Other
East Coast Hip Hop,Hip Hop
Easy Listening,Other
Ebm,Other
Ectofolk,Folk
Ecuadoria,Other
Edm,Electronic
Electric Blues,Electronic
Electro,Electronic
Electro Dub,Electronic
Electro House,Electronic
Electro Jazz,Electronic
Electro Latino,Electronic
Electro Swing,Electronic
Electro Trash,Metal
Electro-industrial,Electronic
Electroacoustic Improvisation,Electronic
Electroclash,Electronic
Electrofox,Electronic
Electronic,Electronic
Electronica,Electronic
Electronicore,Electronic
Electropowerpop,Pop
Electropunk,Rock
Emo,Rock
Emo Punk,Rock
Enka,Other
Entehno,Electronic
Environmental,Metal
Epicore,Other
Estonian Pop,Pop
Ethereal Gothic,Other
Ethereal Wave,Other
Etherpop,Pop
Ethiopian Pop,Pop
Eurobeat,Other
Eurodance,Electronic
Europop,Pop
Euroska,Rock
Eurovision,Other
Exotica,Other
Experimental,Metal
Experimental Dubstep,Metal
Experimental Psych,Metal
Experimental Rock,Metal
Fado,Other
Fake,Other
Fallen Angel,Other
Faroese Pop,Pop
Fast Melodic Punk,Rock
Fidget House,Electronic
Filmi,Other
Filter House,Electronic
Filthstep,Other
Fingerstyle,Other
Finnish Hardcore,Rock
Finnish Hip Hop,Hip Hop
Finnish Indie,Other
Finnish Jazz,Jazz
Finnish Metal,Metal
Finnish Pop,Pop
Flamenco,Other
Flick Hop,Other
Folk,Folk
Folk Christmas,Folk
Folk Metal,Metal
Folk Punk,Rock
Folk Rock,Rock
Folk-pop,Pop
Folk-prog,Pop
Folklore Argentino,Folk
Folkmusik,Folk
Footwork,Other
Forro,Other
Fourth World,Other
Freak Folk,Folk
Freakbeat,Other
Free Improvisation,Other
Free Jazz,Jazz
Freestyle,Other
French Folk,Folk
French Folk Pop,Pop
French Hip Hop,Hip Hop
French Indie Pop,Pop
French Movie Tunes,Other
French Pop,Pop
French Punk,Rock
French Reggae,Hip Hop
French Rock,Rock
Full On,Other
Funeral Doom,Metal
Funk,R&B
Funk Carioca,R&B
Funk Metal,Metal
Funk Rock,Rock
Funky Breaks,R&B
Future Ambient,Electronic
Future Garage,Rock
Futurepop,Pop
G Funk,R&B
Gabba,Other
Galego,Other
Gamecore,Other
Gamelan,Folk
Gangster Rap,Hip Hop
Garage Pop,Rock
Garage Punk,Rock
Garage Punk Blues,Rock
Garage Rock,Rock
Gauze Pop,Pop
Gbvfi,Other
Geek Folk,Folk
Geek Rock,Rock
German Ccm,Other
German Hip Hop,Hip Hop
German Indie,Other
German Metal,Metal
German Oi,Other
German Pop,Pop
German Pop Rock,Rock
German Punk,Rock
German Show Tunes,Other
German Techno,Electronic
Ghettotech,Electronic
Ghoststep,Other
Girl Group,Other
Glam Metal,Metal
Glam Rock,Rock
Glitch,Experimental
Glitch Beats,Experimental
Glitch Hop,Hip Hop
Glitter Trance,Electronic
Goa Trance,Electronic
Goregrind,Metal
Gospel,Other
Gospel Blues,Blues
Gospel Reggae,Other
Gothic Alternative,Rock
Gothic Americana,Country
Gothic Doom,Metal
Gothic Metal,Metal
Gothic Post-punk,Rock
Gothic Rock,Rock
Gothic Symphonic Metal,Metal
Grave Wave,Other
Greek Hip Hop,Hip Hop
Greek House,Electronic
Greek Indie,Other
Grim Death Metal,Metal
Grime,Experimental
Grindcore,Metal
Grisly Death Metal,Metal
Groove Metal,Metal
Grunge,Rock
Grunge Pop,Rock
Grupera,Hip Hop
Guidance,Other
Gypsy Jazz,Jazz
Hands Up,Other
Happy Hardcore,Rock
Hard Alternative,Rock
Hard Bop,Other
Hard Glam,Other
Hard House,Electronic
Hard Rock,Rock
Hard Stoner Rock,Rock
Hard Trance,Electronic
Hardcore,Rock
Hardcore Breaks,Rock
Hardcore Hip Hop,Hip Hop
Hardcore Punk,Rock
Hardcore Techno,Electronic
Hardstyle,Electronic
Harmonica Blues,Blues
Harp,Hip Hop
Hatecore,Other
Hauntology,Other
Hawaiian,Other
Healing,Other
Heavy Alternative,Rock
Heavy Christmas,Other
Heavy Gothic Rock,Rock
Hi Nrg,Other
Highlife,Other
Hindustani Classical,Classical
Hip Hop,Hip Hop
Hip Hop Quebecois,Hip Hop
Hip Hop Tuga,Hip Hop
Hip House,Hip Hop
Hip Pop,Pop
Hiplife,Other
Hoerspiel,Other
Hollywood,Other
Honky Tonk,Country
Horror Punk,Rock
Horrorcore,Other
House,Electronic
Hungarian Hip Hop,Hip Hop
Hungarian Pop,Pop
Hungarian Rock,Rock
Hurban,Other
Hyphy,Other
Icelandic Pop,Pop
Idol,Other
Illbient,Other
Indian Classical,Classical
Indian Pop,Pop
Indian Rock,Rock
Indie Christmas,Other
Indie Dream Pop,Pop
Indie Emo,Rock
Indie Emo Rock,Rock
Indie Folk,Folk
Indie Fuzzpop,Pop
Indie Pop,Pop
Indie Pop Rock,Rock
Indie Post-punk,Rock
Indie Psych-pop,Pop
Indie R&b,R&B
Indie Rock,Rock
Indie Shoegaze,Rock
Indie Singer-songwriter,Jazz
Indietronica,Electronic
Indonesian Indie,Other
Indonesian Pop,Pop
Indorock,Rock
Industrial,Other
Industrial Metal,Metal
Industrial Rock,Rock
Instrumental Post Rock,Metal
Intelligent Dance Music,Other
Irish Folk,Folk
Irish Indie,Other
Irish Rock,Rock
Iskelma,Other
Islamic Recitation,Other
Israeli Rock,Rock
Italian Disco,Other
Italian Folk,Folk
Italian Hip Hop,Hip Hop
Italian Indie Pop,Pop
Italian Jazz,Jazz
Italian Pop,Pop
Italian Pop Rock,Rock
Italian Progressive Rock,Rock
Italian Punk,Rock
Italo Dance,Other
J-alt,Other
J-ambient,Electronic
J-core,Other
J-dance,Other
J-idol,Other
J-indie,Other
J-metal,Metal
J-pop,Pop
J-poppunk,Rock
J-poprock,Rock
J-punk,Rock
J-rap,Hip Hop
J-rock,Rock
J-theme,Other
Jam Band,Other
Jangle Pop,Pop
Jangle Rock,Rock
Japanese Jazztronica,Jazz
Japanese Psychedelic,Rock
Japanese R&amp;b,Other
Japanese Standards,Other
Japanese Traditional,Folk
Japanoise,Experimental
Jazz,Jazz
Jazz Bass,Jazz
Jazz Blues,Jazz
Jazz Brass,Jazz
Jazz Christmas,Jazz
Jazz Funk,Jazz
Jazz Fusion,Jazz
Jazz Metal,Metal
Jazz Orchestra,Hip Hop
Jazz Trio,Jazz
Jerk,Other
Jig And Reel,Other
Judaica,Other
Jug Band,Other
Juggalo,Other
Jump Blues,Blues
Jump Up,Other
Jumpstyle,Other
Jungle,Other
K-hop,Pop
K-indie,Other
K-pop,Pop
K-rock,Rock
Kabarett,Other
Karneval,Other
Kc Indie,Other
Kindermusik,Other
Kirtan,Other
Kiwi Rock,Rock
Kizomba,Other
Klapa,Other
Klezmer,Folk
Kompa,Other
Kraut Rock,Rock
Kuduro,Other
Kurdish Folk,Folk
Kwaito,Other
La Indie,Other
Laboratorio,Other
Laiko,Other
Latin,Other
Latin Alternative,Rock
Latin Christian,Other
Latin Christmas,Other
Latin Electronica,Electronic
Latin Hip Hop,Hip Hop
Latin Jazz,Jazz
Latin Metal,Metal
Latin Pop,Pop
Latvian Pop,Pop
Lds,Other
Leeds Indie,Other
Levenslied,Electronic
Liedermacher,Other
Light Music,Other
Lilith,Other
Liquid Funk,R&B
Lithumania,Other
Liturgical,Other
Lo Star,Other
Lo-fi,Hip Hop
Louisiana Blues,Blues
Louisville Indie,Other
Lounge,Other
Lounge House,Electronic
Lovers Rock,Rock
Lowercase,Other
Luk Thung,Other
Madchester,Other
Maghreb,Other
Magyar,Other
Makossa,Other
Malagasy Folk,Folk
Malaysian Pop,Pop
Mallet,Other
Mambo,Other
Mande Pop,Pop
Mandopop,Pop
Manele,Other
Marching Band,Other
Mariachi,Other
Martial Industrial,Other
Mashup,Other
Math Pop,Pop
Math Rock,Rock
Mathcore,Other
Mbalax,Other
Medieval,Other
Medieval Rock,Rock
Meditation,Other
Melancholia,Other
Melbourne Bounce,Other
Mellow Gold,Other
Melodic Death Metal,Metal
Melodic Hard Rock,Rock
Melodic Hardcore,Rock
Melodic Metalcore,Metal
Melodic Power Metal,Metal
Melodic Progressive Metal,Metal
Memphis Blues,Blues
Memphis Hip Hop,Hip Hop
Memphis Soul,R&B
Merengue,Other
Merengue Urbano,Other
Merseybeat,Other
Metal,Metal
Metal Guitar,Metal
Metalcore,Metal
Metropopolis,Pop
Mexican Indie,Other
Mexican Rock-and-roll,Rock
Mexican Son,Other
Mexican Traditional,Folk
Miami Bass,Other
Michigan Indie,Other
Microhouse,Electronic
Military Band,Other
Minimal,Other
Minimal Dub,Other
Minimal Dubstep,Electronic
Minimal Melodic Techno,Electronic
Minimal Tech House,Electronic
Minimal Techno,Electronic
Minimal Wave,Other
Mizrahi,Other
Mod Revival,Other
Modern Blues,Blues
Modern Classical,Classical
Modern Country Rock,Rock
Modern Downshift,Other
Modern Free Jazz,Jazz
Modern Performance,Other
Modern Southern Rock,Rock
Modern Uplift,Other
Monastic,Other
Moombahton,Other
Morna,Other
Motivation,Other
Motown,R&B
Movie Tunes,Other
Mpb,Other
Musica Para Ninos,Other
Musiikkia Lapsille,Other
Musique Concrete,Other
Musique Pour Enfants,Other
Muziek Voor Kinderen,Other
Nasheed,Electronic
Nashville Sound,Other
Native American,Other
Necrogrind,Metal
Neo Classical Metal,Metal
Neo Honky Tonk,Country
Neo Mellow,Other
Neo Metal,Metal
Neo Soul,R&B
Neo Soul-jazz,Jazz
Neo-industrial Rock,Rock
Neo-pagan,Other
Neo-progressive,Other
Neo-psychedelic,Rock
Neo-rockabilly,Rock
Neo-singer-songwriter,Jazz
Neo-synthpop,Pop
Neo-trad Metal,Metal
Neo-traditional Country,Country
Neoclassical,Classical
Neofolk,Folk
Nepali,Other
Nerdcore,Other
Neue Deutsche Harte,Other
Neue Deutsche Welle,Other
Neurofunk,R&B
Neurostep,Other
New Age,Other
New Age Piano,Other
New Americana,Country
New Beat,Other
New Jack Smooth,Other
New Jack Swing,Jazz
New Orleans Blues,Blues
New Orleans Jazz,Jazz
New Rave,Other
New Romantic,Classical
New Tribe,Other
New Wave,Rock
New Wave Pop,Pop
New Weird America,Other
Ninja,Other
Nintendocore,Other
Nl Folk,Folk
No Wave,Other
Noise,Experimental
Noise Pop,Pop
Noise Punk,Rock
Noise Rock,Rock
Nordic Folk,Folk
Nordic House,Electronic
Norteno,Electronic
Northern Irish Indie,Other
Northern Soul,R&B
Norwegian Gospel,Other
Norwegian Hip Hop,Hip Hop
Norwegian Jazz,Jazz
Norwegian Metal,Metal
Norwegian Pop,Pop
Norwegian Punk,Rock
Norwegian Rock,Rock
Nu Age,Other
Nu Disco,Other
Nu Electro,Electronic
Nu Gaze,Other
Nu Jazz,Jazz
Nu Metal,Metal
Nu Skool Breaks,Other
Nu-cumbia,Folk
Nueva Cancion,Other
Nursery,Other
Nwobhm,Other
Nwothm,Other
Nz Indie,Other
Oi,Experimental
Old School Hip Hop,Hip Hop
Old-time,Other
Opera,Hip Hop
Operatic Pop,Pop
Opm,Pop
Oratory,Other
Orchestral,Classical
Organic Ambient,Electronic
Orgcore,Other
Orquesta Tipica,Other
Orquesta Tropical,Other
Oshare Kei,Other
Ostrock,Rock
Outer Hip Hop,Hip Hop
Outlaw Country,Country
Outsider,Other
Outsider House,Electronic
P Funk,R&B
Pagan Black Metal,Metal
Pagode,Other
Pakistani Pop,Pop
Permanent Wave,Classical
Persian Pop,Pop
Persian Traditional,Folk
Perth Indie,Other
Peruvian Rock,Rock
Piano Blues,Blues
Piano Rock,Rock
Piedmont Blues,Electronic
Pipe Band,Other
Poetry,Other
Polish Hip Hop,Hip Hop
Polish Indie,Other
Polish Jazz,Jazz
Polish Pop,Pop
Polish Punk,Rock
Polish Reggae,Other
Polka,Other
Polynesian Pop,Pop
Polyphony,Other
Pop,Pop
Pop Christmas,Pop
Pop Emo,Rock
Pop House,Pop
Pop Punk,Rock
Pop Rap,Pop
Pop Rock,Rock
Popgaze,Pop
Porro,Other
Portland Indie,Other
Portuguese Pop,Pop
Portuguese Rock,Rock
Post Rock,Rock
Post-disco,Other
Post-disco Soul,R&B
Post-grunge,Rock
Post-hardcore,Rock
Post-metal,Metal
Post-post-hardcore,Rock
Post-punk,Rock
Power Blues-rock,Rock
Power Electronics,Electronic
Power Metal,Metal
Power Noise,Experimental
Power Pop,Pop
Power Violence,Other
Power-pop Punk,Rock
Praise,Other
Progressive Alternative,Rock
Progressive Bluegrass,Blues
Progressive Electro House,Electronic
Progressive House,Electronic
Progressive Metal,Metal
Progressive Psytrance,Electronic
Progressive Rock,Rock
Progressive Trance,Electronic
Progressive Trance House,Electronic
Progressive Uplifting Trance,Electronic
Protopunk,Rock
Psych Gaze,Other
Psychedelic Blues-rock,Rock
Psychedelic Rock,Rock
Psychedelic Trance,Rock
Psychill,Other
Psychobilly,Other
Pub Rock,Rock
Puerto Rican Rock,Rock
Punjabi,Other
Punk,Rock
Punk Blues,Rock
Punk Christmas,Rock
Punk Ska,Rock
Qawwali,Other
Quebecois,Other
Quiet Storm,R&B
R&B,R&B
Ragga Jungle,Other
Ragtime,Other
Rai,Classical
Ranchera,Other
Rap,Hip Hop
Rap Metal,Metal
Rap Metalcore,Metal
Rap Rock,Rock
Raw Black Metal,Metal
Re:techno,Electronic
Reading,Other
Rebetiko,Other
Reggae,Folk
Reggae Fusion,Jazz
Reggae Rock,Rock
Reggaeton,Hip Hop
Regional Mexican,Other
Relaxative,Other
Remix,Other
Renaissance,Other
Retro Electro,Electronic
Retro Metal,Metal
Rhythm And Boogie,Other
Riddim,Other
Rio De La Plata,Other
Riot Grrrl,Other
Rock,Rock
Rock Catala,Rock
Rock En Espanol,Rock
Rock Gaucho,Rock
Rock Noise,Rock
Rock Steady,Rock
Rock-and-roll,Rock
Rockabilly,Rock
Romanian Pop,Pop
Romanian Rock,Rock
Romantic,Classical
Roots Reggae,Other
Roots Rock,Rock
Rumba,Other
Russian Alternative,Rock
Russian Hip Hop,Hip Hop
Russian Pop,Pop
Russian Punk,Rock
Russian Rock,Rock
Rva Indie,Other
Salsa,Folk
Salsa International,Folk
Samba,Folk
Saxophone,Other
Schlager,Other
Schranz,Other
Scorecore,Other
Scottish Rock,Rock
Scratch,Other
Screamo,Other
Screamo Punk,Rock
Screamocore,Other
Seattle Indie,Other
Sega,Other
Serialism,Other
Sertanejo,Other
Sertanejo Tradicional,Other
Sertanejo Universitario,Other
Sevdah,Other
Shanty,Other
Sheffield Indie,Other
Shibuya-kei,Other
Shimmer Pop,Pop
Shimmer Psych,Other
Shiver Pop,Pop
Shoegaze,Rock
Show Tunes,Other
Singaporean Pop,Pop
Singer-songwriter,Jazz
Sinhala,Other
Ska,Rock
Ska Punk,Rock
Ska Revival,Rock
Skate Punk,Rock
Skiffle,Other
Skinhead Oi,Other
Skinhead Reggae,Other
Skweee,Other
Slam Death Metal,Metal
Slash Punk,Rock
Slc Indie,Other
Sleaze Rock,Rock
Sleep,Other
Slovak Hip Hop,Hip Hop
Slovak Pop,Pop
Slovenian Rock,Rock
Slow Core,Other
Sludge Metal,Metal
Smooth Jazz,Jazz
Smooth Urban R&amp;b,Other
Soca,Other
Soda Pop,Pop
Soft Rock,Rock
Solipsynthm,Other
Soukous,Other
Soul,R&B
Soul Blues,Blues
Soul Christmas,R&B
Soul Flow,R&B
Soul Jazz,Jazz
Soundtrack,Other
South African Jazz,Jazz
Southern Gospel,Other
Southern Hip Hop,Hip Hop
Southern Rock,Rock
Southern Soul,R&B
Southern Soul Blues,Blues
Space Rock,Rock
Spanish Classical,Classical
Spanish Folk,Folk
Spanish Hip Hop,Hip Hop
Spanish Indie Pop,Pop
Spanish Indie Rock,Rock
Spanish Invasion,Other
Spanish New Wave,Rock
Spanish Pop,Pop
Spanish Pop Rock,Rock
Spanish Punk,Rock
Spanish Reggae,Other
Speed Garage,Rock
Speed Metal,Metal
Speedcore,Other
Spoken Word,Other
Spytrack,Other
Steampunk,Rock
Steelpan,Other
Stl Indie,Other
Stomp And Flutter,Other
Stomp And Holler,Other
Stomp And Whittle,Other
